2026-05-30 00:37:54,843 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,843 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,844 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,845 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,845 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,846 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,846 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,846 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,847 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,847 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,848 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,848 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,848 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,849 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,849 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,849 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,850 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,850 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,851 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,876 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,877 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,877 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,891 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,892 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,893 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,899 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,900 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,901 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,904 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,905 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,906 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,908 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
